,PostalCode,name,categories,lat,lng
0,M3A,Brookbanks Park,Park,43.751976046055574,-79.33214044722958
1,M3A,Careful & Reliable Painting,Construction & Landscaping,43.752622,-79.331957
2,M3A,649 Variety,Convenience Store,43.754513133391214,-79.33194239759004
3,M3A,Towns On The Ravine,Hotel,43.7547545,-79.3325523
4,M3A,Sun Life,Construction & Landscaping,43.75476,-79.332783
5,M3A,GTA Restoration,Fireworks Store,43.753396155415686,-79.33347702026367
6,M3A,Variety Store,Food & Drink Shop,43.75197441585782,-79.33311418516017
7,M3A,TTC stop - 44 Valley Woods,Bus Stop,43.75540238129278,-79.33374133300899
8,M3A,Bella Vita Catering & Private Chef Service,BBQ Joint,43.756650934496314,-79.33152437210083
9,M3A,Corrosion Service Company Limited,Construction & Landscaping,43.75243208667859,-79.33466148402658
0,M4A,Victoria Village Arena,Hockey Arena,43.72348055545508,-79.31563520925143
1,M4A,Portugril,Portuguese Restaurant,43.72581876267242,-79.31278541470671
2,M4A,Tim Hortons,Coffee Shop,43.725516631714754,-79.31310251366091
3,M4A,Love Your Dress,Bridal Shop,43.72550241732081,-79.31614726781845
4,M4A,The Frig,French Restaurant,43.72705130603407,-79.31741760908679
5,M4A,Eglinton Ave E & Sloane Ave/Bermondsey Rd,Intersection,43.726086,-79.31362
6,M4A,Pizza Nova,Pizza Place,43.725823726352196,-79.31286041792907
7,M4A,Cash Money,Financial or Legal Service,43.72548580178643,-79.31266509325405
0,M5A,Roselle Desserts,Bakery,43.653446723052674,-79.3620167174383
1,M5A,Tandem Coffee,Coffee Shop,43.65355870959944,-79.36180945913513
2,M5A,Cooper Koo Family YMCA,Distribution Center,43.65324910177244,-79.35800826343677
3,M5A,Morning Glory Cafe,Breakfast Spot,43.653946942635294,-79.36114884214422
4,M5A,Body Blitz Spa East,Spa,43.65473505045365,-79.35987433132891
5,M5A,Impact Kitchen,Restaurant,43.65636850543279,-79.35697968750694
6,M5A,The Extension Room,Gym / Fitness Center,43.65331304337331,-79.35972538072777
7,M5A,Corktown Common,Park,43.655617799749734,-79.3562113397429
8,M5A,The Distillery Historic District,Historic Site,43.65024435658077,-79.35932278633118
9,M5A,SOMA chocolatemaker,Chocolate Shop,43.65062222570758,-79.35812684032683
10,M5A,Distillery Sunday Market,Farmers Market,43.650074989330655,-79.36183171318665
11,M5A,Figs Breakfast & Lunch,Breakfast Spot,43.65567455427388,-79.3645032892494
12,M5A,Arvo,Coffee Shop,43.64996280366945,-79.36144178325522
13,M5A,Cacao 70,Dessert Shop,43.650066694561666,-79.36072263183006
14,M5A,Sumach Espresso,Coffee Shop,43.65813540553308,-79.35951549011845
15,M5A,Rooster Coffee,Coffee Shop,43.65189965670432,-79.36560912104514
16,M5A,Dominion Pub and Kitchen,Pub,43.65691857501867,-79.35896684476664
17,M5A,Starbucks,Coffee Shop,43.651613,-79.364917
18,M5A,Young Centre for the Performing Arts,Performing Arts Venue,43.65082466432163,-79.35759324240415
19,M5A,Underpass Park,Park,43.65576361726024,-79.3548059463501
20,M5A,Cluny Bistro & Boulangerie,French Restaurant,43.650565116074695,-79.35784287026658
